REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
CR,PPFOI,1,2024,1.3056
CR,PPFOI,1,2025,1.3056
CR,PPFOI,1,2026,1.3056
CR,PPFOI,1,2027,1.3056
CR,PPFOI,1,2028,1.3056
CR,PPFOI,1,2029,1.3056
CR,PPFOI,1,2030,1.3056
CR,PPFOI,1,2031,1.3056
CR,PPFOI,1,2032,1.3056
CR,PPFOI,1,2033,1.3056
CR,PPFOI,1,2034,1.3056
CR,PPFOI,1,2035,1.3056
CR,PPFOI,1,2036,1.3056
CR,PPFOI,1,2037,1.3056
CR,PPFOI,1,2038,1.3056
CR,PPFOI,1,2039,1.3056
CR,PPFOI,1,2040,1.3056
CR,PPFOI,1,2041,1.3056
CR,PPFOI,1,2042,1.3056
CR,PPFOI,1,2043,1.3056
CR,PPFOI,1,2044,1.3056
CR,PPFOI,1,2045,1.3056
CR,PPFOI,1,2046,1.3056
CR,PPFOI,1,2047,1.3056
CR,PPFOI,1,2048,1.3056
CR,PPFOI,1,2049,1.3056
CR,PPFOI,1,2050,1.3056
CR,DIST_GSL,1,2018,14.9253
CR,DIST_GSL,1,2019,13.1679
CR,DIST_GSL,1,2020,8.7136
CR,DIST_GSL,1,2021,13.1679
CR,DIST_GSL,1,2022,13.4181
CR,DIST_GSL,1,2023,13.673
CR,DIST_GSL,1,2024,13.9328
CR,DIST_GSL,1,2025,14.1975
CR,DIST_GSL,1,2026,14.4673
CR,DIST_GSL,1,2027,14.7422
CR,DIST_GSL,1,2028,15.0223
CR,DIST_GSL,1,2029,15.3077
CR,DIST_GSL,1,2030,15.5985
CR,DIST_GSL,1,2031,15.8949
CR,DIST_GSL,1,2032,16.1969
CR,DIST_GSL,1,2033,16.5046
CR,DIST_GSL,1,2034,16.8182
CR,DIST_GSL,1,2035,17.1377
CR,DIST_GSL,1,2036,17.4633
CR,DIST_GSL,1,2037,17.7951
CR,DIST_GSL,1,2038,18.1332
CR,DIST_GSL,1,2039,18.4777
CR,DIST_GSL,1,2040,18.8288
CR,DIST_GSL,1,2041,19.1865
CR,DIST_GSL,1,2042,19.551
CR,DIST_GSL,1,2043,19.9225
CR,DIST_GSL,1,2044,20.301
CR,DIST_GSL,1,2045,20.6867
CR,DIST_GSL,1,2046,21.0797
CR,DIST_GSL,1,2047,21.4802
CR,DIST_GSL,1,2048,21.8883
CR,DIST_GSL,1,2049,22.3042
CR,DIST_GSL,1,2050,22.728
CR,DIST_COK,1,2018,2.5929
