REGION,FUEL,YEAR,VALUE
CR,E5AGRDSL,2018,1.671
CR,E5AGRDSL,2019,1.7124
CR,E5AGRDSL,2020,1.7538
CR,E5AGRDSL,2021,1.7952
CR,E5AGRDSL,2022,1.8367
CR,E5AGRDSL,2023,1.8781
CR,E5AGRDSL,2024,1.9195
CR,E5AGRDSL,2025,1.9609
CR,E5AGRDSL,2026,2.0023
CR,E5AGRDSL,2027,2.0437
CR,E5AGRDSL,2028,2.0851
CR,E5AGRDSL,2029,2.1265
CR,E5AGRDSL,2030,2.168
CR,E5AGRDSL,2031,2.2094
CR,E5AGRDSL,2032,2.2508
CR,E5AGRDSL,2033,2.2922
CR,E5AGRDSL,2034,2.3336
CR,E5AGRDSL,2035,2.375
CR,E5AGRDSL,2036,2.4164
CR,E5AGRDSL,2037,2.4579
CR,E5AGRDSL,2038,2.4993
CR,E5AGRDSL,2039,2.5407
CR,E5AGRDSL,2040,2.5821
CR,E5AGRDSL,2041,2.6235
CR,E5AGRDSL,2042,2.6649
CR,E5AGRDSL,2043,2.7063
CR,E5AGRDSL,2044,2.7477
CR,E5AGRDSL,2045,2.7892
CR,E5AGRDSL,2046,2.8306
CR,E5AGRDSL,2047,2.872
CR,E5AGRDSL,2048,2.9134
CR,E5AGRDSL,2049,2.9548
CR,E5AGRDSL,2050,2.9962
