REGION,FUEL,TIMESLICE,YEAR,VALUE
CR,E5AGRELE,All,2031,1.0
CR,E5AGRELE,All,2032,1.0
CR,E5AGRELE,All,2033,1.0
CR,E5AGRELE,All,2034,1.0
CR,E5AGRELE,All,2035,1.0
CR,E5AGRELE,All,2036,1.0
CR,E5AGRELE,All,2037,1.0
CR,E5AGRELE,All,2038,1.0
CR,E5AGRELE,All,2039,1.0
CR,E5AGRELE,All,2040,1.0
CR,E5AGRELE,All,2041,1.0
CR,E5AGRELE,All,2042,1.0
CR,E5AGRELE,All,2043,1.0
CR,E5AGRELE,All,2044,1.0
CR,E5AGRELE,All,2045,1.0
CR,E5AGRELE,All,2046,1.0
CR,E5AGRELE,All,2047,1.0
CR,E5AGRELE,All,2048,1.0
CR,E5AGRELE,All,2049,1.0
CR,E5AGRELE,All,2050,1.0
CR,E7IDSTEAL1,All,2018,1.0
CR,E7IDSTEAL1,All,2019,1.0
CR,E7IDSTEAL1,All,2020,1.0
CR,E7IDSTEAL1,All,2021,1.0
CR,E7IDSTEAL1,All,2022,1.0
CR,E7IDSTEAL1,All,2023,1.0
CR,E7IDSTEAL1,All,2024,1.0
CR,E7IDSTEAL1,All,2025,1.0
CR,E7IDSTEAL1,All,2026,1.0
CR,E7IDSTEAL1,All,2027,1.0
CR,E7IDSTEAL1,All,2028,1.0
CR,E7IDSTEAL1,All,2029,1.0
CR,E7IDSTEAL1,All,2030,1.0
CR,E7IDSTEAL1,All,2031,1.0
CR,E7IDSTEAL1,All,2032,1.0
CR,E7IDSTEAL1,All,2033,1.0
CR,E7IDSTEAL1,All,2034,1.0
CR,E7IDSTEAL1,All,2035,1.0
CR,E7IDSTEAL1,All,2036,1.0
CR,E7IDSTEAL1,All,2037,1.0
CR,E7IDSTEAL1,All,2038,1.0
CR,E7IDSTEAL1,All,2039,1.0
CR,E7IDSTEAL1,All,2040,1.0
CR,E7IDSTEAL1,All,2041,1.0
CR,E7IDSTEAL1,All,2042,1.0
CR,E7IDSTEAL1,All,2043,1.0
CR,E7IDSTEAL1,All,2044,1.0
CR,E7IDSTEAL1,All,2045,1.0
CR,E7IDSTEAL1,All,2046,1.0
CR,E7IDSTEAL1,All,2047,1.0
CR,E7IDSTEAL1,All,2048,1.0
CR,E7IDSTEAL1,All,2049,1.0
CR,E7IDSTEAL1,All,2050,1.0
CR,E6TDFREHEA,All,2018,1.0
CR,E6TDFREHEA,All,2019,1.0
CR,E6TDFREHEA,All,2020,1.0
CR,E6TDFREHEA,All,2021,1.0
CR,E6TDFREHEA,All,2022,1.0
CR,E6TDFREHEA,All,2023,1.0
CR,E6TDFREHEA,All,2024,1.0
CR,E6TDFREHEA,All,2025,1.0
CR,E6TDFREHEA,All,2026,1.0
CR,E6TDFREHEA,All,2027,1.0
CR,E6TDFREHEA,All,2028,1.0
CR,E6TDFREHEA,All,2029,1.0
CR,E6TDFREHEA,All,2030,1.0
CR,E6TDFREHEA,All,2031,1.0
CR,E6TDFREHEA,All,2032,1.0
CR,E6TDFREHEA,All,2033,1.0
CR,E6TDFREHEA,All,2034,1.0
CR,E6TDFREHEA,All,2035,1.0
CR,E6TDFREHEA,All,2036,1.0
CR,E6TDFREHEA,All,2037,1.0
CR,E6TDFREHEA,All,2038,1.0
CR,E6TDFREHEA,All,2039,1.0
CR,E6TDFREHEA,All,2040,1.0
CR,E6TDFREHEA,All,2041,1.0
CR,E6TDFREHEA,All,2042,1.0
CR,E6TDFREHEA,All,2043,1.0
CR,E6TDFREHEA,All,2044,1.0
CR,E6TDFREHEA,All,2045,1.0
CR,E6TDFREHEA,All,2046,1.0
CR,E6TDFREHEA,All,2047,1.0
CR,E6TDFREHEA,All,2048,1.0
CR,E6TDFREHEA,All,2049,1.0
CR,E6TDFREHEA,All,2050,1.0
CR,E7IDHEAFBO,All,2018,1.0
CR,E7IDHEAFBO,All,2019,1.0
CR,E7IDHEAFBO,All,2020,1.0
CR,E7IDHEAFBO,All,2021,1.0
CR,E7IDHEAFBO,All,2022,1.0
CR,E7IDHEAFBO,All,2023,1.0
CR,E7IDHEAFBO,All,2024,1.0
CR,E7IDHEAFBO,All,2025,1.0
CR,E7IDHEAFBO,All,2026,1.0
CR,E7IDHEAFBO,All,2027,1.0
CR,E7IDHEAFBO,All,2028,1.0
CR,E7IDHEAFBO,All,2029,1.0
CR,E7IDHEAFBO,All,2030,1.0
CR,E7IDHEAFBO,All,2031,1.0
CR,E7IDHEAFBO,All,2032,1.0
CR,E7IDHEAFBO,All,2033,1.0
CR,E7IDHEAFBO,All,2034,1.0
CR,E7IDHEAFBO,All,2035,1.0
CR,E7IDHEAFBO,All,2036,1.0
CR,E7IDHEAFBO,All,2037,1.0
CR,E7IDHEAFBO,All,2038,1.0
CR,E7IDHEAFBO,All,2039,1.0
CR,E7IDHEAFBO,All,2040,1.0
CR,E7IDHEAFBO,All,2041,1.0
CR,E7IDHEAFBO,All,2042,1.0
CR,E7IDHEAFBO,All,2043,1.0
CR,E7IDHEAFBO,All,2044,1.0
CR,E7IDHEAFBO,All,2045,1.0
CR,E7IDHEAFBO,All,2046,1.0
CR,E7IDHEAFBO,All,2047,1.0
CR,E7IDHEAFBO,All,2048,1.0
CR,E7IDHEAFBO,All,2049,1.0
CR,E7IDHEAFBO,All,2050,1.0
CR,E6TRNOMOT,All,2018,1.0
CR,E6TRNOMOT,All,2019,1.0
CR,E6TRNOMOT,All,2020,1.0
CR,E6TRNOMOT,All,2021,1.0
CR,E6TRNOMOT,All,2022,1.0
CR,E6TRNOMOT,All,2023,1.0
CR,E6TRNOMOT,All,2024,1.0
CR,E6TRNOMOT,All,2025,1.0
CR,E6TRNOMOT,All,2026,1.0
CR,E6TRNOMOT,All,2027,1.0
CR,E6TRNOMOT,All,2028,1.0
CR,E6TRNOMOT,All,2029,1.0
CR,E6TRNOMOT,All,2030,1.0
CR,E6TRNOMOT,All,2031,1.0
CR,E6TRNOMOT,All,2032,1.0
CR,E6TRNOMOT,All,2033,1.0
CR,E6TRNOMOT,All,2034,1.0
CR,E6TRNOMOT,All,2035,1.0
CR,E6TRNOMOT,All,2036,1.0
CR,E6TRNOMOT,All,2037,1.0
CR,E6TRNOMOT,All,2038,1.0
CR,E6TRNOMOT,All,2039,1.0
CR,E6TRNOMOT,All,2040,1.0
CR,E6TRNOMOT,All,2041,1.0
CR,E6TRNOMOT,All,2042,1.0
CR,E6TRNOMOT,All,2043,1.0
CR,E6TRNOMOT,All,2044,1.0
CR,E6TRNOMOT,All,2045,1.0
CR,E6TRNOMOT,All,2046,1.0
CR,E6TRNOMOT,All,2047,1.0
CR,E6TRNOMOT,All,2048,1.0
CR,E6TRNOMOT,All,2049,1.0
CR,E6TRNOMOT,All,2050,1.0
CR,E6TDFRELIG,All,2018,1.0
CR,E6TDFRELIG,All,2019,1.0
CR,E6TDFRELIG,All,2020,1.0
CR,E6TDFRELIG,All,2021,1.0
CR,E6TDFRELIG,All,2022,1.0
CR,E6TDFRELIG,All,2023,1.0
CR,E6TDFRELIG,All,2024,1.0
CR,E6TDFRELIG,All,2025,1.0
CR,E6TDFRELIG,All,2026,1.0
CR,E6TDFRELIG,All,2027,1.0
CR,E6TDFRELIG,All,2028,1.0
CR,E6TDFRELIG,All,2029,1.0
CR,E6TDFRELIG,All,2030,1.0
CR,E6TDFRELIG,All,2031,1.0
CR,E6TDFRELIG,All,2032,1.0
CR,E6TDFRELIG,All,2033,1.0
CR,E6TDFRELIG,All,2034,1.0
CR,E6TDFRELIG,All,2035,1.0
CR,E6TDFRELIG,All,2036,1.0
CR,E6TDFRELIG,All,2037,1.0
CR,E6TDFRELIG,All,2038,1.0
CR,E6TDFRELIG,All,2039,1.0
CR,E6TDFRELIG,All,2040,1.0
CR,E6TDFRELIG,All,2041,1.0
CR,E6TDFRELIG,All,2042,1.0
CR,E6TDFRELIG,All,2043,1.0
CR,E6TDFRELIG,All,2044,1.0
CR,E6TDFRELIG,All,2045,1.0
CR,E6TDFRELIG,All,2046,1.0
CR,E6TDFRELIG,All,2047,1.0
CR,E6TDFRELIG,All,2048,1.0
CR,E6TDFRELIG,All,2049,1.0
CR,E6TDFRELIG,All,2050,1.0
CR,E5COMELE,All,2018,1.0
CR,E5COMELE,All,2019,1.0
CR,E5COMELE,All,2020,1.0
CR,E5COMELE,All,2021,1.0
CR,E5COMELE,All,2022,1.0
CR,E5COMELE,All,2023,1.0
CR,E5COMELE,All,2024,1.0
CR,E5COMELE,All,2025,1.0
CR,E5COMELE,All,2026,1.0
CR,E5COMELE,All,2027,1.0
CR,E5COMELE,All,2028,1.0
CR,E5COMELE,All,2029,1.0
CR,E5COMELE,All,2030,1.0
CR,E5COMELE,All,2031,1.0
CR,E5COMELE,All,2032,1.0
CR,E5COMELE,All,2033,1.0
CR,E5COMELE,All,2034,1.0
CR,E5COMELE,All,2035,1.0
CR,E5COMELE,All,2036,1.0
CR,E5COMELE,All,2037,1.0
CR,E5COMELE,All,2038,1.0
CR,E5COMELE,All,2039,1.0
CR,E5COMELE,All,2040,1.0
CR,E5COMELE,All,2041,1.0
CR,E5COMELE,All,2042,1.0
CR,E5COMELE,All,2043,1.0
CR,E5COMELE,All,2044,1.0
CR,E5COMELE,All,2045,1.0
CR,E5COMELE,All,2046,1.0
CR,E5COMELE,All,2047,1.0
CR,E5COMELE,All,2048,1.0
CR,E5COMELE,All,2049,1.0
CR,E5COMELE,All,2050,1.0
CR,E7IDEDOAL4,All,2018,1.0
CR,E7IDEDOAL4,All,2019,1.0
CR,E7IDEDOAL4,All,2020,1.0
CR,E7IDEDOAL4,All,2021,1.0
CR,E7IDEDOAL4,All,2022,1.0
CR,E7IDEDOAL4,All,2023,1.0
CR,E7IDEDOAL4,All,2024,1.0
CR,E7IDEDOAL4,All,2025,1.0
CR,E7IDEDOAL4,All,2026,1.0
CR,E7IDEDOAL4,All,2027,1.0
CR,E7IDEDOAL4,All,2028,1.0
CR,E7IDEDOAL4,All,2029,1.0
CR,E7IDEDOAL4,All,2030,1.0
CR,E7IDEDOAL4,All,2031,1.0
CR,E7IDEDOAL4,All,2032,1.0
CR,E7IDEDOAL4,All,2033,1.0
CR,E7IDEDOAL4,All,2034,1.0
CR,E7IDEDOAL4,All,2035,1.0
CR,E7IDEDOAL4,All,2036,1.0
CR,E7IDEDOAL4,All,2037,1.0
CR,E7IDEDOAL4,All,2038,1.0
CR,E7IDEDOAL4,All,2039,1.0
CR,E7IDEDOAL4,All,2040,1.0
CR,E7IDEDOAL4,All,2041,1.0
CR,E7IDEDOAL4,All,2042,1.0
CR,E7IDEDOAL4,All,2043,1.0
CR,E7IDEDOAL4,All,2044,1.0
CR,E7IDEDOAL4,All,2045,1.0
CR,E7IDEDOAL4,All,2046,1.0
CR,E7IDEDOAL4,All,2047,1.0
CR,E7IDEDOAL4,All,2048,1.0
CR,E7IDEDOAL4,All,2049,1.0
CR,E7IDEDOAL4,All,2050,1.0
CR,E5EXPELE,All,2018,1.0
CR,E5EXPELE,All,2019,1.0
CR,E5EXPELE,All,2020,1.0
CR,E5EXPELE,All,2021,1.0
CR,E5EXPELE,All,2022,1.0
CR,E5EXPELE,All,2023,1.0
CR,E5EXPELE,All,2024,1.0
CR,E5EXPELE,All,2025,1.0
CR,E5EXPELE,All,2026,1.0
CR,E5EXPELE,All,2027,1.0
CR,E5EXPELE,All,2028,1.0
CR,E5EXPELE,All,2029,1.0
CR,E5EXPELE,All,2030,1.0
CR,E5EXPELE,All,2031,1.0
CR,E5EXPELE,All,2032,1.0
CR,E5EXPELE,All,2033,1.0
CR,E5EXPELE,All,2034,1.0
CR,E5EXPELE,All,2035,1.0
CR,E5EXPELE,All,2036,1.0
CR,E5EXPELE,All,2037,1.0
CR,E5EXPELE,All,2038,1.0
CR,E5EXPELE,All,2039,1.0
CR,E5EXPELE,All,2040,1.0
CR,E5EXPELE,All,2041,1.0
CR,E5EXPELE,All,2042,1.0
CR,E5EXPELE,All,2043,1.0
CR,E5EXPELE,All,2044,1.0
CR,E5EXPELE,All,2045,1.0
CR,E5EXPELE,All,2046,1.0
CR,E5EXPELE,All,2047,1.0
CR,E5EXPELE,All,2048,1.0
CR,E5EXPELE,All,2049,1.0
CR,E5EXPELE,All,2050,1.0
CR,E6TDPASPUB,All,2018,1.0
CR,E6TDPASPUB,All,2019,1.0
CR,E6TDPASPUB,All,2020,1.0
CR,E6TDPASPUB,All,2021,1.0
CR,E6TDPASPUB,All,2022,1.0
CR,E6TDPASPUB,All,2023,1.0
CR,E6TDPASPUB,All,2024,1.0
CR,E6TDPASPUB,All,2025,1.0
CR,E6TDPASPUB,All,2026,1.0
CR,E6TDPASPUB,All,2027,1.0
CR,E6TDPASPUB,All,2028,1.0
CR,E6TDPASPUB,All,2029,1.0
CR,E6TDPASPUB,All,2030,1.0
CR,E6TDPASPUB,All,2031,1.0
CR,E6TDPASPUB,All,2032,1.0
CR,E6TDPASPUB,All,2033,1.0
CR,E6TDPASPUB,All,2034,1.0
CR,E6TDPASPUB,All,2035,1.0
CR,E6TDPASPUB,All,2036,1.0
CR,E6TDPASPUB,All,2037,1.0
CR,E6TDPASPUB,All,2038,1.0
CR,E6TDPASPUB,All,2039,1.0
CR,E6TDPASPUB,All,2040,1.0
CR,E6TDPASPUB,All,2041,1.0
CR,E6TDPASPUB,All,2042,1.0
CR,E6TDPASPUB,All,2043,1.0
CR,E6TDPASPUB,All,2044,1.0
CR,E6TDPASPUB,All,2045,1.0
CR,E6TDPASPUB,All,2046,1.0
CR,E6TDPASPUB,All,2047,1.0
CR,E6TDPASPUB,All,2048,1.0
CR,E6TDPASPUB,All,2049,1.0
CR,E6TDPASPUB,All,2050,1.0
CR,E5AGRDSL,All,2018,1.0
CR,E5AGRDSL,All,2019,1.0
CR,E5AGRDSL,All,2020,1.0
CR,E5AGRDSL,All,2021,1.0
CR,E5AGRDSL,All,2022,1.0
CR,E5AGRDSL,All,2023,1.0
CR,E5AGRDSL,All,2024,1.0
CR,E5AGRDSL,All,2025,1.0
CR,E5AGRDSL,All,2026,1.0
CR,E5AGRDSL,All,2027,1.0
CR,E5AGRDSL,All,2028,1.0
CR,E5AGRDSL,All,2029,1.0
CR,E5AGRDSL,All,2030,1.0
CR,E5AGRDSL,All,2031,1.0
CR,E5AGRDSL,All,2032,1.0
CR,E5AGRDSL,All,2033,1.0
CR,E5AGRDSL,All,2034,1.0
CR,E5AGRDSL,All,2035,1.0
CR,E5AGRDSL,All,2036,1.0
CR,E5AGRDSL,All,2037,1.0
CR,E5AGRDSL,All,2038,1.0
CR,E5AGRDSL,All,2039,1.0
CR,E5AGRDSL,All,2040,1.0
CR,E5AGRDSL,All,2041,1.0
CR,E5AGRDSL,All,2042,1.0
CR,E5AGRDSL,All,2043,1.0
CR,E5AGRDSL,All,2044,1.0
CR,E5AGRDSL,All,2045,1.0
CR,E5AGRDSL,All,2046,1.0
CR,E5AGRDSL,All,2047,1.0
CR,E5AGRDSL,All,2048,1.0
CR,E5AGRDSL,All,2049,1.0
CR,E5AGRDSL,All,2050,1.0
CR,E7IDHEACEM,All,2018,1.0
CR,E7IDHEACEM,All,2019,1.0
CR,E7IDHEACEM,All,2020,1.0
CR,E7IDHEACEM,All,2021,1.0
CR,E7IDHEACEM,All,2022,1.0
CR,E7IDHEACEM,All,2023,1.0
CR,E7IDHEACEM,All,2024,1.0
CR,E7IDHEACEM,All,2025,1.0
CR,E7IDHEACEM,All,2026,1.0
CR,E7IDHEACEM,All,2027,1.0
CR,E7IDHEACEM,All,2028,1.0
CR,E7IDHEACEM,All,2029,1.0
CR,E7IDHEACEM,All,2030,1.0
CR,E7IDHEACEM,All,2031,1.0
CR,E7IDHEACEM,All,2032,1.0
CR,E7IDHEACEM,All,2033,1.0
CR,E7IDHEACEM,All,2034,1.0
CR,E7IDHEACEM,All,2035,1.0
CR,E7IDHEACEM,All,2036,1.0
CR,E7IDHEACEM,All,2037,1.0
CR,E7IDHEACEM,All,2038,1.0
CR,E7IDHEACEM,All,2039,1.0
CR,E7IDHEACEM,All,2040,1.0
CR,E7IDHEACEM,All,2041,1.0
CR,E7IDHEACEM,All,2042,1.0
CR,E7IDHEACEM,All,2043,1.0
CR,E7IDHEACEM,All,2044,1.0
CR,E7IDHEACEM,All,2045,1.0
CR,E7IDHEACEM,All,2046,1.0
CR,E7IDHEACEM,All,2047,1.0
CR,E7IDHEACEM,All,2048,1.0
CR,E7IDHEACEM,All,2049,1.0
CR,E7IDHEACEM,All,2050,1.0
CR,E7IDOPGAL3,All,2018,1.0
CR,E7IDOPGAL3,All,2019,1.0
CR,E7IDOPGAL3,All,2020,1.0
CR,E7IDOPGAL3,All,2021,1.0
CR,E7IDOPGAL3,All,2022,1.0
CR,E7IDOPGAL3,All,2023,1.0
CR,E7IDOPGAL3,All,2024,1.0
CR,E7IDOPGAL3,All,2025,1.0
CR,E7IDOPGAL3,All,2026,1.0
CR,E7IDOPGAL3,All,2027,1.0
CR,E7IDOPGAL3,All,2028,1.0
CR,E7IDOPGAL3,All,2029,1.0
CR,E7IDOPGAL3,All,2030,1.0
CR,E7IDOPGAL3,All,2031,1.0
CR,E7IDOPGAL3,All,2032,1.0
CR,E7IDOPGAL3,All,2033,1.0
CR,E7IDOPGAL3,All,2034,1.0
CR,E7IDOPGAL3,All,2035,1.0
CR,E7IDOPGAL3,All,2036,1.0
CR,E7IDOPGAL3,All,2037,1.0
CR,E7IDOPGAL3,All,2038,1.0
CR,E7IDOPGAL3,All,2039,1.0
CR,E7IDOPGAL3,All,2040,1.0
CR,E7IDOPGAL3,All,2041,1.0
CR,E7IDOPGAL3,All,2042,1.0
CR,E7IDOPGAL3,All,2043,1.0
CR,E7IDOPGAL3,All,2044,1.0
CR,E7IDOPGAL3,All,2045,1.0
CR,E7IDOPGAL3,All,2046,1.0
CR,E7IDOPGAL3,All,2047,1.0
CR,E7IDOPGAL3,All,2048,1.0
CR,E7IDOPGAL3,All,2049,1.0
CR,E7IDOPGAL3,All,2050,1.0
CR,E5COMLPG,All,2018,1.0
CR,E5COMLPG,All,2019,1.0
CR,E5COMLPG,All,2020,1.0
CR,E5COMLPG,All,2021,1.0
CR,E5COMLPG,All,2022,1.0
CR,E5COMLPG,All,2023,1.0
CR,E5COMLPG,All,2024,1.0
CR,E5COMLPG,All,2025,1.0
CR,E5COMLPG,All,2026,1.0
CR,E5COMLPG,All,2027,1.0
CR,E5COMLPG,All,2028,1.0
CR,E5COMLPG,All,2029,1.0
CR,E5COMLPG,All,2030,1.0
CR,E5COMLPG,All,2031,1.0
CR,E5COMLPG,All,2032,1.0
CR,E5COMLPG,All,2033,1.0
CR,E5COMLPG,All,2034,1.0
CR,E5COMLPG,All,2035,1.0
CR,E5COMLPG,All,2036,1.0
CR,E5COMLPG,All,2037,1.0
CR,E5COMLPG,All,2038,1.0
CR,E5COMLPG,All,2039,1.0
CR,E5COMLPG,All,2040,1.0
CR,E5COMLPG,All,2041,1.0
CR,E5COMLPG,All,2042,1.0
