REGION,FUEL,TIMESLICE,YEAR,VALUE
CR,E5PUBELE,All,2039,1.0
CR,E5PUBELE,All,2040,1.0
CR,E5PUBELE,All,2041,1.0
CR,E5PUBELE,All,2042,1.0
CR,E5PUBELE,All,2043,1.0
CR,E5PUBELE,All,2044,1.0
CR,E5PUBELE,All,2045,1.0
CR,E5PUBELE,All,2046,1.0
CR,E5PUBELE,All,2047,1.0
CR,E5PUBELE,All,2048,1.0
CR,E5PUBELE,All,2049,1.0
CR,E5PUBELE,All,2050,1.0
